Customer Name,Segment,Customer ID
Steven Ward,Corporate,SW-20755
Stewart Carmichael,Corporate,SC-20770
Stewart Visinsky,Consumer,SV-20785
Stuart Calhoun,Consumer,SC-20800
Stuart Van,Corporate,SV-20815
Sue Ann Reed,Consumer,SA-20830
Sung Chung,Consumer,SC-20845
Sung Pak,Corporate,SP-20860
Sung Shariari,Consumer,SS-20875
Susan Gilcrest,Corporate,SG-20890
Susan MacKendrick,Consumer,SM-20905
Susan Pistek,Consumer,SP-20920
Susan Vittorini,Consumer,SV-20935
Suzanne McNair,Corporate,SM-20950
Sylvia Foulston,Corporate,SF-20965
Tamara Chand,Corporate,TC-20980
Tamara Dahlen,Consumer,TD-20995
Tamara Manning,Consumer,TM-21010
Tamara Willingham,Home Office,TW-21025
Tanja Norvell,Home Office,TN-21040
Ted Butterfield,Consumer,TB-21055
Ted Trevino,Consumer,TT-21070
Thais Sissman,Consumer,TS-21085
Thea Hendricks,Consumer,TH-21100
Thea Hudgings,Corporate,TH-21115
Theone Pippenger,Consumer,TP-21130
Theresa Coyne,Corporate,TC-21145
Theresa Swint,Corporate,TS-21160
Thomas Boland,Corporate,TB-21175
Thomas Brumley,Home Office,TB-21190
Thomas Seio,Corporate,TS-21205
Thomas Thornton,Consumer,TT-21220
Tiffany House,Corporate,TH-21235
Tim Brockman,Consumer,TB-21250
Tim Taslimi,Corporate,TT-21265
Toby Braunhardt,Consumer,TB-21280
Toby Carlisle,Consumer,TC-21295
Toby Gnade,Consumer,TG-21310
Toby Ritter,Consumer,TR-21325
Toby Swindell,Consumer,TS-21340
Todd Boyes,Corporate,TB-21355
Todd Sumrall,Corporate,TS-21370
Tom Ashbrook,Home Office,TA-21385
Tom Boeckenhauer,Consumer,TB-21400
Tom Prescott,Consumer,TP-21415
Tom Stivers,Corporate,TS-21430
Tonja Turnell,Home Office,TT-21460
Tony Chapman,Home Office,TC-21475
Tony Molinari,Consumer,TM-21490
Tony Sayre,Consumer,TS-21505
Tracy Blumstein,Consumer,TB-21520
Tracy Collins,Home Office,TC-21535
Tracy Hopkins,Home Office,TH-21550
Tracy Poddar,Corporate,TP-21565
Tracy Zic,Consumer,TZ-21580
Troy Blackwell,Consumer,TB-21595
Troy Staebel,Consumer,TS-21610
Trudy Brown,Consumer,TB-21625
Trudy Glocke,Consumer,TG-21640
Trudy Schmidt,Consumer,TS-21655
Valerie Dominguez,Consumer,VD-21670
Valerie Mitchum,Home Office,VM-21685
Valerie Takahito,Home Office,VT-21700
Vicky Freymann,Home Office,VF-21715
Victor Preis,Home Office,VP-21730
Victoria Brennan,Corporate,VB-21745
Victoria Pisteka,Corporate,VP-21760
Victoria Wilson,Corporate,VW-21775
Vivek Gonzalez,Consumer,VG-21790
Vivek Grady,Corporate,VG-21805
Vivek Sundaresam,Consumer,VS-21820
Vivian Mathis,Consumer,VM-21835
William Brown,Consumer,WB-21850
Xylona Preis,Consumer,XP-21865
Yana Sorensen,Corporate,YS-21880
Yoseph Carroll,Corporate,YC-21895
Zuschuss Carroll,Consumer,ZC-21910
Zuschuss Donatelli,Consumer,ZD-21925
